yearmonth,region,fueltype,cost
2020년10월,전북,경유,1120.5
2020년11월,전북,경유,1108.78
2020년12월,전북,경유,1155.79
2021년01월,전북,경유,1230.62
2021년02월,전북,경유,1249.53
2021년03월,전북,경유,1299.84
2021년04월,전북,경유,1323.22
2021년05월,전북,경유,1332.38
2021년06월,전북,경유,1366.87
2021년07월,전북,경유,1413.93
2021년08월,전북,경유,1426.92
2021년09월,전북,경유,1422.82
2021년10월,전북,경유,1496.83
2021년11월,전북,경유,1541.73
2021년12월,전북,경유,1456.13
2022년01월,전북,경유,1434.81
2022년02월,전북,경유,1523.46
2022년03월,전북,경유,1796.08
2022년04월,전북,경유,1887.74
2022년05월,전북,경유,1956.93
2022년06월,전북,경유,2074.49
2022년07월,전북,경유,2073.05
2022년08월,전북,경유,1885.28
2022년09월,전북,경유,1841.2
2022년10월,전북,경유,1830.92
2022년11월,전북,경유,1872.18
2022년12월,전북,경유,1777.96
2023년01월,전북,경유,1671.73
2023년02월,전북,경유,1603.34
2023년03월,전북,경유,1534.45
2023년04월,전북,경유,1524.24
2023년05월,전북,경유,1456.06
2023년06월,전북,경유,1381.38
2023년07월,전북,경유,1387.03
2023년08월,전북,경유,1544.36
2023년09월,전북,경유,1647.3
2023년10월,전북,경유,1676.96
2023년11월,전북,경유,1620.59
2023년12월,전북,경유,1522.48
2024년01월,전북,경유,1473.59
2024년02월,전북,경유,1503.32
2024년03월,전북,경유,1525.08
2024년04월,전북,경유,1544.35
2024년05월,전북,경유,1527.16
2024년06월,전북,경유,1477.95
2024년07월,전북,경유,1526
2024년08월,전북,경유,1514.41
2024년09월,전북,경유,1449.32
2024년10월,전북,경유,1415.12
2024년11월,전북,경유,1446.01
2024년12월,전북,경유,1484.38
2025년01월,전북,경유,1548.8
2025년02월,전북,경유,1579.21
2025년03월,전북,경유,1549.7
2025년04월,전북,경유,1512.32
2025년05월,전북,경유,1498.24
2020년01월,전남,경유,1393.9
2020년02월,전남,경유,1377.43
2020년03월,전남,경유,1301.96
2020년04월,전남,경유,1155.48
2020년05월,전남,경유,1075.35
2020년06월,전남,경유,1112.88
2020년07월,전남,경유,1151.84
2020년08월,전남,경유,1157.42
2020년09월,전남,경유,1154.38
2020년10월,전남,경유,1140.22
2020년11월,전남,경유,1124.06
2020년12월,전남,경유,1159.66
2021년01월,전남,경유,1235.13
2021년02월,전남,경유,1255.39
2021년03월,전남,경유,1302.79
2021년04월,전남,경유,1327.33
2021년05월,전남,경유,1334.16
2021년06월,전남,경유,1368.75
2021년07월,전남,경유,1418.66
2021년08월,전남,경유,1436.89
2021년09월,전남,경유,1436.64
2021년10월,전남,경유,1499.22
2021년11월,전남,경유,1546.44
2021년12월,전남,경유,1482.29
2022년01월,전남,경유,1460.21
2022년02월,전남,경유,1529.34
2022년03월,전남,경유,1803.36
2022년04월,전남,경유,1906.42
2022년05월,전남,경유,1964.12
2022년06월,전남,경유,2081.37
2022년07월,전남,경유,2098.41
2022년08월,전남,경유,1911.99
2022년09월,전남,경유,1856.92
2022년10월,전남,경유,1843.25
2022년11월,전남,경유,1884.59
2022년12월,전남,경유,1807.07
2023년01월,전남,경유,1698.82
2023년02월,전남,경유,1624.24
2023년03월,전남,경유,1557.63
